City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-07-20 17:01:49,71.2906,-156.7887,39.22,93,90,18.41
1,Ushuaia,AR,2021-07-20 17:00:50,-54.8,-68.3,34.11,81,90,2.75
2,Busselton,AU,2021-07-20 17:01:49,-33.65,115.3333,55.04,93,100,12.75
3,Saskylakh,RU,2021-07-20 17:01:49,71.9167,114.0833,55.27,72,99,6.46
4,Katsuura,JP,2021-07-20 17:01:50,35.1333,140.3,80.11,85,16,4.56
5,Monrovia,LR,2021-07-20 16:59:30,6.3005,-10.7969,76.77,75,67,12.59
6,Dikson,RU,2021-07-20 17:01:51,73.5069,80.5464,47.46,67,100,11.81
7,Hermanus,ZA,2021-07-20 17:01:51,-34.4187,19.2345,50.9,70,35,5.75
8,Nemuro,JP,2021-07-20 17:01:51,43.3236,145.575,60.85,98,98,6.35
9,Codrington,AU,2021-07-20 17:01:52,-38.2667,141.9667,50.07,65,99,13.82
10,Port-Gentil,GA,2021-07-20 17:01:53,-0.7193,8.7815,75.65,79,39,17.02
11,Chokurdakh,RU,2021-07-20 17:01:55,70.6333,147.9167,54.46,93,95,9.26
12,Punta Arenas,CL,2021-07-20 17:01:55,-53.15,-70.9167,41.11,80,78,9.33
13,Sobolevo,RU,2021-07-20 17:01:56,54.4299,31.8996,68.97,69,83,5.55
14,Westport,US,2021-07-20 16:59:47,41.1415,-73.3579,87.44,75,0,3.62
15,Lebu,CL,2021-07-20 17:01:56,-37.6167,-73.65,57.2,83,100,11.01
16,Ambad,IN,2021-07-20 17:01:56,19.6167,75.8,76.96,80,99,11.99
17,Nexo,DK,2021-07-20 17:01:57,55.0607,15.1306,68.09,68,40,20.69
18,Vila Velha,BR,2021-07-20 16:59:50,-20.3297,-40.2925,74.97,49,0,19.57
19,Cape Town,ZA,2021-07-20 17:01:26,-33.9258,18.4232,53.35,77,17,1.01
20,Kapaa,US,2021-07-20 17:01:58,22.0752,-159.319,77.11,72,28,1.01
21,Bay Roberts,CA,2021-07-20 17:01:58,47.5999,-53.2648,77.65,91,100,1.99
22,Qui Nhon,VN,2021-07-20 17:01:58,13.7667,109.2333,83.61,68,83,15.32
23,Lumeje,AO,2021-07-20 17:01:59,-11.55,20.7833,69.64,26,34,3.8
24,Longyearbyen,SJ,2021-07-20 17:02:00,78.2186,15.6401,39.04,81,75,2.3
25,Vaini,TO,2021-07-20 17:02:00,-21.2,-175.2,75.45,81,3,14.41
